,,,Total,,,,,Até cinco minutos,,,,,De seis minutos até quinze minutos,,,,,Mais de quinze minutos até meia hora,,,,,Mais de meia hora até uma hora,,,,,Mais de uma hora até duas horas,,,,,Mais de duas horas até quatro horas,,,,,Mais de quatro horas,,,,
,,,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo
,,Branca,39236,5848,4429,14495,14464,4899,578,477,1874,1970,12699,1565,1380,4353,5402,14105,2093,1385,5413,5213,4761,1110,651,1811,1189,2040,341,411,783,506,276,75,63,71,67,142,46,7,60,30
,,Preta,18804,5188,2966,6678,3972,1932,418,330,764,420,5175,1090,794,1936,1355,7175,2008,1054,2559,1554,2681,882,494,908,399,1362,591,232,341,199,146,56,31,40,19,66,16,5,26,18
,,Amarela,451,111,32,172,136,62,5,12,30,15,126,6,11,78,31,155,53,9,41,52,81,30,-,12,38,22,12,-,10,-,5,5,-,-,-,-,-,-,-,-
,,Parda,112251,23799,17123,43355,27974,12541,2096,1908,4850,3688,35507,5848,4916,13985,10757,39879,8771,6058,15293,9757,15777,4222,2619,6303,2633,6308,2045,1193,2189,882,633,354,130,98,51,426,162,80,138,46
,,Indígena,834,305,148,267,114,165,68,39,49,9,234,86,35,78,36,270,83,49,94,45,65,29,18,9,9,48,29,5,13,-,3,-,3,-,-,38,9,-,14,15
,65 anos ou mais,Total,3839,2040,422,707,670,496,331,33,54,79,1106,459,152,237,258,1208,518,176,275,239,532,354,42,76,59,346,246,8,66,26,26,22,4,-,-,18,18,-,-,-
,,Branca,954,447,91,222,194,129,93,5,4,27,306,94,33,102,77,274,74,49,76,75,150,104,5,31,10,48,35,-,8,5,5,5,-,-,-,-,-,-,-,-
,,Preta,531,373,70,51,37,49,38,8,3,-,128,82,23,12,11,133,87,21,15,11,114,82,-,16,16,83,70,8,5,-,9,5,4,-,-,-,-,-,-,-
,,Amarela,34,14,-,-,20,-,-,-,-,-,10,-,-,-,10,23,14,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,2314,1199,260,435,420,318,199,20,46,52,662,283,96,122,161,777,342,107,185,143,266,166,37,28,33,211,137,-,53,21,12,12,-,-,-,18,18,-,-,-
,,Indígena,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Cruzeiro do Sul,Total,Total,55619,15050,8422,20798,11350,11089,2211,1271,4409,3198,19621,4133,2581,8163,4745,14701,4613,2735,5256,2098,6537,2562,1178,1916,881,1946,787,381,538,240,717,390,126,124,77,398,179,48,103,68
,,Branca,11985,2691,1775,4641,2879,2365,463,180,971,751,4540,745,646,1906,1243,3048,833,600,1179,436,1255,380,234,341,299,477,157,85,150,85,98,44,14,15,26,107,46,5,26,30
,,Preta,5459,1894,829,1820,917,1142,250,93,455,344,1686,492,131,758,305,1560,666,360,389,145,700,287,165,161,87,142,95,15,11,21,90,59,27,5,-,59,16,21,22,-
,,Amarela,162,25,20,42,75,50,-,-,6,44,85,17,20,26,22,16,-,-,10,6,12,8,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,36425,9839,5469,13816,7301,7139,1372,903,2866,1997,12859,2704,1705,5322,3128,9718,2986,1691,3571,1468,4373,1790,747,1358,478,1265,516,261,361,127,489,265,79,92,51,205,107,18,46,34
,,Indígena,1587,601,329,479,178,394,126,95,111,61,452,176,78,150,47,360,127,84,107,42,198,96,32,56,14,63,19,20,16,8,40,22,6,12,-,28,11,4,9,4
,10 a 17 anos,Total,1125,481,607,36,-,232,97,100,35,-,348,115,233,-,-,326,158,168,1,-,151,85,66,-,-,24,10,13,-,-,15,15,-,-,-,14,-,14,-,-
,,Branca,281,93,172,16,-,47,20,11,16,-,113,25,88,-,-,105,48,57,-,-,6,-,6,-,-,6,-,6,-,-,-,-,-,-,-,4,-,4,-,-
,,Preta,123,40,83,-,-,14,-,14,-,-,10,4,5,-,-,41,16,24,-,-,43,14,29,-,-,5,5,-,-,-,-,-,-,-,-,11,-,11,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,674,328,326,19,-,158,69,69,19,-,207,81,126,-,-,169,89,80,-,-,100,69,31,-,-,12,5,7,-,-,15,15,-,-,-,-,-,-,-,-
,,Indígena,47,19,27,1,-,14,7,7,-,-,19,5,14,-,-,11,4,6,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18 a 64 anos,Total,53459,13865,7746,20668,11180,10582,1944,1154,4319,3165,18976,3814,2341,8150,4671,14172,4300,2547,5250,2075,6226,2367,1087,1916,856,1883,744,368,530,240,684,356,126,124,77,369,178,33,103,54
,,Branca,11432,2496,1569,4571,2796,2211,405,153,920,733,4317,665,558,1899,1195,2915,785,532,1179,419,1233,371,221,341,299,471,157,79,150,85,98,44,14,15,26,103,46,1,26,30
,,Preta,5230,1757,746,1820,907,1104,225,79,455,344,1645,466,126,758,295,1484,615,335,389,145,643,259,136,161,87,136,89,15,11,21,90,59,27,5,-,48,16,11,22,-
,,Amarela,162,25,20,42,75,50,-,-,6,44,85,17,20,26,22,16,-,-,10,6,12,8,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,35102,9009,5108,13759,7226,6839,1195,834,2828,1982,12499,2496,1573,5316,3114,9409,2778,1602,3566,1462,4143,1635,698,1358,453,1214,480,254,353,127,455,232,79,92,51,191,107,18,46,20
,,Indígena,1532,578,302,477,175,378,118,88,110,61,430,170,64,150,45,347,122,78,106,42,195,93,32,56,14,63,19,20,16,8,40,22,6,12,-,27,10,4,9,4
,65 anos ou mais,Total,1035,704,68,94,170,275,171,16,55,34,297,204,7,13,74,203,155,20,5,23,161,110,25,-,25,40,32,-,8,-,19,19,-,-,-,15,1,-,-,14
,,Branca,272,101,34,54,83,106,37,16,35,18,109,55,-,7,48,27,-,11,-,17,16,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Preta,106,97,-,-,10,25,25,-,-,-,31,21,-,-,10,35,35,-,-,-,14,14,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,649,502,34,38,75,143,108,-,19,16,153,127,7,6,14,140,119,10,5,6,129,86,18,-,25,39,31,-,8,-,19,19,-,-,-,14,-,-,-,14
,,Indígena,7,4,-,1,2,1,-,-,1,-,3,1,-,-,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Manaus,Total,Total,803265,133513,118089,373789,177875,62099,11937,9928,27481,12753,123469,19652,16259,53816,33741,216697,35082,28356,97627,55633,226037,32580,32584,112028,48845,143787,26321,25112,69979,22375,13817,3900,2285,6030,1602,4804,1240,757,1745,1062
,,Branca,171947,19781,19597,76137,56433,11686,1979,1309,4990,3408,28290,2681,3054,11688,10867,47769,4923,4873,19716,18257,50896,5363,5451,23745,16337,27385,3741,3760,13646,6237,2800,622,525,1185,467,850,144,70,378,257
,,Preta,54266,11991,8575,24290,9411,3793,1029,749,1425,590,7622,1461,1158,3153,1850,14030,3270,1746,6424,2591,16170,2736,2699,7938,2797,10198,2548,1671,4621,1357,1083,536,199,274,74,372,112,102,80,78
,,Amarela,2158,149,225,444,1340,59,45,10,4,1,402,37,-,102,263,776,-,65,110,601,539,35,30,129,345,335,20,87,99,129,33,12,21,-,-,13,-,13,-,-
,,Parda,553910,95809,86431,263755,107915,42869,8132,7315,19196,8226,82168,14165,11232,36870,19901,148210,25243,20918,68559,33490,155249,23382,23868,78952,29046,103824,19422,19173,50780,14449,9527,2595,1516,4390,1026,3344,910,534,1237,662
,,Indígena,20984,5784,3261,9163,2776,3693,752,546,1867,528,4986,1309,815,2003,859,5911,1645,754,2819,693,3183,1063,536,1264,319,2045,589,420,833,203,375,136,24,180,35,224,75,37,48,64
,10 a 17 anos,Total,10845,3788,6568,489,-,1758,774,942,41,-,1825,707,981,137,-,2886,1035,1679,173,-,2166,622,1490,54,-,1678,425,1170,84,-,89,23,66,-,-,72,42,30,-,-
,,Branca,2141,627,1408,107,-,305,169,124,11,-,395,113,260,22,-,534,187,307,40,-,395,51,329,15,-,290,50,221,19,-,47,-,47,-,-,29,9,19,-,-
,,Preta,579,223,336,21,-,106,45,60,-,-,81,25,35,21,-,145,92,53,-,-,186,61,125,-,-,43,-,43,-,-,-,-,-,-,-,-,-,-,-,-
,,Amarela,44,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,44,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,7464,2548,4575,341,-,1260,497,734,29,-,1216,477,646,94,-,2017,636,1267,114,-,1455,433,983,39,-,1236,344,827,65,-,41,22,19,-,-,36,25,11,-,-
,,Indígena,616,391,205,20,-,87,63,24,1,-,133,92,40,1,-,190,120,52,18,-,130,77,53,-,-,66,30,35,-,-,1,1,-,-,-,7,7,-,-,-
